time(s),score,player,coin
12,0,23,186
0.0578606,0,1.25,null
0.0615502,0,1.25,null
0.0633406,0,1.25,null
0.0651058,0,1.25,null
0.06678469,0,1.25,null
0.06858689,0,1.25,null
0.07041439,0,1.25,null
0.07231399,0,1.25,null
0.0744127,0,1.25,null
0.07707909,0,1.25,null
0.07971939,0,1.25,null
0.08251829,0,1.25,null
0.084769,0,1.25,null
0.0866007,0,1.25,null
0.0889456,0,1.25,null
0.0918228,0,1.25,null
0.09430829,0,1.25,null
0.096145,0,1.25,null
0.09789079,0,1.25,null
0.0997576,0,1.25,null
0.101576,0,1.25,null
0.1036356,0,1.25,null
0.1054384,0,1.25,null
0.1076274,0,1.25,null
0.10959,0,1.25,null
0.111393,0,1.25,null
0.1130769,0,1.25,null
0.1147559,0,1.25,null
0.1164722,0,1.25,null
0.1186057,0,1.25,null
0.1210458,0,1.25,null
0.1233145,0,1.25,null
0.1259955,0,1.25,null
0.1284752,0,1.25,null
0.1311646,0,1.25,null
0.1334252,0,1.25,null
0.1355598,0,1.25,null
0.1383566,0,0.4709302,null
0.1405063,0,0.4709302,null
0.1425316,0,0.4709302,null
0.1446459,0,0.4709302,null
0.1465377,0,0.4709302,null
0.1484359,0,0.4709302,null
0.150236,0,0.4709302,null
0.1520571,0,0.4709302,null
0.1543346,0,0.4709302,null
0.1561403,0,0.4709302,null
0.1578713,0,0.4709302,null
0.1599983,0,0.4709302,null
0.1622083,0,0.4709302,null
0.1643623,0,0.4709302,null
0.1662587,0,0.4709302,null
0.1689645,0,0.4709302,null
0.1713569,0,0.4709302,null
0.1737692,0,0.4709302,null
0.1766707,0,0.4709302,null
0.1794846,0,0.4709302,null
0.1825697,0,0.4709302,null
0.1850595,0,0.4709302,null
0.1871713,0,0.4709302,null
0.1892409,0,0.4709302,null
0.1909528,0,0.4709302,null
0.193029,0,0.4709302,null
0.1948475,0,0.4709302,null
0.1969254,0,0.4709302,null
0.1989005,0,0.4709302,null
0.2009502,0,0.4709302,null
0.203109,0,0.4709302,null
0.2054721,0,0.4709302,null
0.2077755,0,0.4709302,null
0.2099878,0,0.4709302,null
0.211861,0,0.4709302,null
0.2144094,0,0.4709302,null
0.2169863,0,0.4709302,null
0.2197677,0,0.4709302,null
0.2231714,0,0.4709302,null
0.2259966,0,0.4709302,null
0.2278521,0,0.4709302,null
0.2301884,0,0.4593023,null
0.2318768,0,0.4593023,null
0.2334465,0,0.4593023,null
0.2348998,0,0.4593023,null
0.2367079,0,0.4593023,null
0.2382843,0,0.4593023,null
0.2397195,0,0.4593023,null
0.2411681,0,0.4593023,null
0.2429252,0,0.4593023,null
0.2449643,0,0.4593023,null
0.246988,0,0.4593023,null
0.2493472,0,0.4593023,null
0.251415,0,0.4593023,null
0.2532381,0,0.4593023,null
0.2548169,0,0.4593023,null
0.25626,0,0.4593023,null
0.2578029,0,0.4593023,null
0.2600208,0,0.4593023,null
0.2625089,0,0.4593023,null
0.2644598,0,0.4593023,null
0.2669013,0,0.4593023,null
0.2686343,0,0.4593023,null
0.2702355,0,0.4593023,null
0.2717434,0,0.4593023,null
0.2731679,0,0.4593023,null
0.2748924,0,0.4593023,null
0.277348,0,0.4418605,null
0.27927,0,0.4418605,null
0.2809069,0,0.4418605,null
0.2826973,0,0.4418605,null
0.2842679,0,0.4418605,null
0.285784,0,0.4418605,null
0.2872765,0,0.4418605,null
0.2889962,0,0.4418605,null
0.2910292,0,0.4418605,null
0.2940631,0,0.4418605,null
0.296004,0,0.4418605,null
0.298025,0,0.4418605,null
0.3000242,0,0.4418605,null
0.3016271,0,0.4418605,null
0.3045773,0,0.4418605,null
0.3061713,0,0.4418605,null
0.3084882,0,0.4418605,null
0.3107751,0,0.4418605,null
0.3129194,0,0.4418605,null
0.3150243,0,0.4418605,null
0.316608,0,0.4418605,null
0.3181659,0,0.4418605,null
0.3197587,0,0.4418605,null
0.3212515,0,0.4418605,null
0.3234257,0,0.4302326,null
0.3255877,0,0.4302326,null
0.3276449,0,0.4302326,null
0.3299628,0,0.4302326,null
0.3318591,0,0.4302326,null
0.3336123,0,0.4302326,null
0.3355187,0,0.4302326,null
0.3375657,0,0.4302326,null
0.3394006,0,0.4302326,null
0.3410513,0,0.4302326,null
0.343199,0,0.4302326,null
0.345421,0,0.4302326,null
0.346965,0,0.4302326,null
0.3487431,0,0.4302326,null
0.3503444,0,0.4302326,null
0.3518293,0,0.4302326,null
0.3544413,0,0.4302326,null
0.3563026,0,0.4302326,null
0.3587233,0,0.4302326,null
0.3612348,0,0.4302326,null
0.3629065,0,0.4302326,null
0.3644643,0,0.4302326,null
0.3660046,0,0.4302326,null
0.3675441,0,0.4302326,null
0.3693576,0,0.4302326,null
0.3714086,0,0.4186046,null
0.3730969,0,0.4186046,null
0.3749742,0,0.4186046,null
